,ID,ComponentSolute,ComponentSolvent,x1,StandardDeviation,Pressure,VapourPressure2,Type,Temperature,Reference,CPA,dev
0,1,CO2,water,0.000985,1.97e-05,1.01325,0,VLE,283.15,Houghton1957,1.3725042691314258,26.175093018747102
1,2,CO2,water,0.001946,2.3892e-05,2.0265,0,VLE,283.15,Houghton1957,2.708142873994076,25.170122320347232
2,3,CO2,water,0.0038,7.6e-05,4.053,0,VLE,283.15,Houghton1957,5.3112826317328725,23.690748901501067
3,4,CO2,water,0.00556,0.0001112,6.0795,0,VLE,283.15,Houghton1957,7.81770817239729,22.23424223654885
4,5,CO2,water,0.00723,0.0001446,8.106,0,VLE,283.15,Houghton1957,10.231449774602003,20.773691132982
5,6,CO2,water,0.00881,0.000206,10.1325,0,VLE,283.15,Houghton1957,12.550620295221513,19.266938512530583
6,7,CO2,water,0.0103,0.000234,12.159,0,VLE,283.15,Houghton1957,14.772965397694467,17.694249782121695
7,8,CO2,water,0.0117,0.0002604,14.1855,0,VLE,283.15,Houghton1957,16.89583767804092,16.04145192258491
8,9,CO2,water,0.01424,0.0002848,18.2385,0,VLE,283.15,Houghton1957,20.846312281541532,12.50970553602727
9,10,CO2,water,0.01538,0.0003076,20.265,0,VLE,283.15,Houghton1957,22.66704904069339,10.597096412422589
10,11,CO2,water,0.01644,0.0003288,22.2915,0,VLE,283.15,Houghton1957,24.39043455162615,8.605564395269093
11,12,CO2,water,0.00688364,0.000137673,10.12,0,VLE,293.15,Addicks2001,12.768898931701262,20.744928328353033
12,13,CO2,water,0.00944248,0.00018885,15.07,0,VLE,293.15,Addicks2001,17.795327098476577,15.3148468887087
13,14,CO2,water,0.01236172,0.000247234,20.2,0,VLE,293.15,Addicks2001,23.79457532157322,15.106700888728275
14,15,CO2,water,0.0149025,0.00029805,25.33,0,VLE,293.15,Addicks2001,29.312355422131514,13.585927724950905
15,16,CO2,water,0.001445,2.89e-05,1.01325,0,VLE,273.15,Houghton1957,1.494218513699441,32.18863300713907
16,17,CO2,water,0.00289,5.78e-05,2.02065,0,VLE,273.15,Houghton1957,2.991772538503418,32.45977179097998
17,18,CO2,water,0.0056,0.000112,4.053,0,VLE,273.15,Houghton1957,5.828804030370478,30.46601019896714
18,19,CO2,water,0.00814,0.0001628,6.0795,0,VLE,273.15,Houghton1957,8.52571309285436,28.692181712103356
19,20,CO2,water,0.01271,0.0002542,10.1325,0,VLE,273.15,Houghton1957,13.488717975091417,24.881667637273516
20,21,CO2,water,0.01474,0.0002948,12.159,0,VLE,273.15,Houghton1957,15.748013078361602,22.790259701352728
21,22,CO2,water,0.0166,0.000332,14.1855,0,VLE,273.15,Houghton1957,17.853458571400225,20.544806804413764
22,23,CO2,water,0.01831,0.0003662,18.23,0,VLE,273.15,Houghton1957,19.823072396364513,8.036455522690199
23,24,CO2,water,0.02123,0.0004246,20.265,0,VLE,273.15,Houghton1957,23.274988204241208,12.932286701192492
24,25,CO2,water,0.000802,1.604e-05,1.01325,0,VLE,288.15,Houghton1957,1.283559063177702,21.059339685428967
25,26,CO2,water,0.001587,3.174e-05,2.02,0,VLE,288.15,Houghton1957,2.530932320651068,20.18751416156531
26,27,CO2,water,0.00311,6.22e-05,4.053,0,VLE,288.15,Houghton1957,4.974873812080797,18.53059689357654
27,28,CO2,water,0.00458,9.16e-05,6.0795,0,VLE,288.15,Houghton1957,7.366194191101053,17.46755729920183
28,29,CO2,water,0.00598,0.0001196,8.106,0,VLE,288.15,Houghton1957,9.676294364953609,16.22826162297242
29,30,CO2,water,0.00732,0.0001464,10.1325,0,VLE,288.15,Houghton1957,11.920280546328605,14.997805960860827
30,31,CO2,water,0.0086,0.000172,12.159,0,VLE,288.15,Houghton1957,14.096891605447745,13.746942657194339
31,32,CO2,water,0.00982,0.0001964,14.1855,0,VLE,288.15,Houghton1957,16.20463825303507,12.46024885903821
32,33,CO2,water,0.01099,0.0002198,16.212,0,VLE,288.15,Houghton1957,18.25949684635039,11.213325665978765
33,34,CO2,water,0.01209,0.0002418,18.2385,0,VLE,288.15,Houghton1957,20.22435247109136,9.819115217310099
34,35,CO2,water,0.01313,0.0002626,20.265,0,VLE,288.15,Houghton1957,22.11434784008864,8.362660538133362
35,36,CO2,water,0.000692,1.384e-05,1.01325,0,VLE,293.15,Houghton1957,1.2636702155138584,19.816896247097795
36,37,CO2,water,0.001374,2.748e-05,2.02,0,VLE,293.15,Houghton1957,2.493729766616468,18.996836504030355
37,38,CO2,water,0.0027,5.4e-05,4.053,0,VLE,293.15,Houghton1957,4.909134402211007,17.439620349881142
38,39,CO2,water,0.00399,7.98e-05,6.0795,0,VLE,293.15,Houghton1957,7.2915211647046485,16.622336235840063
39,40,CO2,water,0.00524,0.0001048,8.106,0,VLE,293.15,Houghton1957,9.633585004613,15.85686952345905
40,41,CO2,water,0.00644,0.0001288,10.1325,0,VLE,293.15,Houghton1957,11.916006872579155,14.967319939058783
41,42,CO2,water,0.0076,0.000152,12.159,0,VLE,293.15,Houghton1957,14.157095282047317,14.113737615237435
42,43,CO2,water,0.00872,0.0001744,14.1855,0,VLE,293.15,Houghton1957,16.356453642601647,13.272764928378061
43,44,CO2,water,0.00981,0.0001962,16.212,0,VLE,293.15,Houghton1957,18.533722159477836,12.527015024289367
44,45,CO2,water,0.01084,0.0002168,18.2385,0,VLE,293.15,Houghton1957,20.627813022403444,11.582968198366265
45,46,CO2,water,0.01184,0.0002368,20.265,0,VLE,293.15,Houghton1957,22.698404959032104,10.720598929414233
46,47,CO2,water,0.000608,1.216e-05,1.01325,0,VLE,298.15,Houghton1957,1.2595608885544065,19.55529826248389
47,48,CO2,water,0.001207,2.414e-05,2.02,0,VLE,298.15,Houghton1957,2.4769799705979523,18.44907815252279
48,49,CO2,water,0.00239,4.78e-05,4.053,0,VLE,298.15,Houghton1957,4.905606682247697,17.380249528220265
49,50,CO2,water,0.00353,7.06e-05,6.0795,0,VLE,298.15,Houghton1957,7.278676778392414,16.475203047239397
50,51,CO2,water,0.00465,9.3e-05,8.106,0,VLE,298.15,Houghton1957,9.644173062078702,15.949247822261336
51,52,CO2,water,0.00574,0.0001148,10.1325,0,VLE,298.15,Houghton1957,11.981637451897463,15.433094677761469
52,53,CO2,water,0.0068,0.000136,12.159,0,VLE,298.15,Houghton1957,14.291246339925564,14.919946722691993
53,54,CO2,water,0.00783,0.0001566,14.1855,0,VLE,298.15,Houghton1957,16.573137456176983,14.406671413245814
54,55,CO2,water,0.00883,0.0001766,16.212,0,VLE,298.15,Houghton1957,18.827406725413788,13.89148682852554
55,56,CO2,water,0.0098,0.000196,18.2385,0,VLE,298.15,Houghton1957,21.05410482600455,13.373187078117493
56,57,CO2,water,0.000473,9.46e-06,1.01325,0,VLE,308.15,Houghton1957,1.2445838605782111,18.587245737763112
57,58,CO2,water,0.000943,1.886e-05,2.0265,0,VLE,308.15,Houghton1957,2.4329894221389714,16.707406059398515
58,59,CO2,water,0.001868,3.736e-05,4.053,0,VLE,308.15,Houghton1957,4.7949464570715845,15.4735086974196
59,60,CO2,water,0.00278,5.56e-05,6.0795,0,VLE,308.15,Houghton1957,7.155545939229319,15.0379292980294
60,61,CO2,water,0.00367,7.34e-05,8.106,0,VLE,308.15,Houghton1957,9.492012301587966,14.601880587071017
61,62,CO2,water,0.00454,9.08e-05,10.1325,0,VLE,308.15,Houghton1957,11.80973164576337,14.202114798815602
62,63,CO2,water,0.00539,0.0001078,12.159,0,VLE,308.15,Houghton1957,14.108934493972386,13.820565222734826
63,64,CO2,water,0.000342,6.84e-06,1.01325,0,VLE,323.15,Houghton1957,1.262188818915518,19.722787524722968
64,65,CO2,water,0.000683,1.366e-05,2.02,0,VLE,323.15,Houghton1957,2.4053099992721387,16.019140958493328
65,66,CO2,water,0.001354,2.708e-05,4.053,0,VLE,323.15,Houghton1957,4.67533186185676,13.31096658472512
66,67,CO2,water,0.00202,4.04e-05,6.0795,0,VLE,323.15,Houghton1957,6.956886769948493,12.611773038171625
67,68,CO2,water,0.00266,5.32e-05,8.106,0,VLE,323.15,Houghton1957,9.177702715776732,11.677243739159744
68,69,CO2,water,0.0033,6.6e-05,10.1325,0,VLE,323.15,Houghton1957,11.42799865476461,11.336181372619293
69,70,CO2,water,0.00393,7.86e-05,12.159,0,VLE,323.15,Houghton1957,13.673722152897122,11.077613951488619
70,71,CO2,water,0.00455,9.1e-05,14.1855,0,VLE,323.15,Houghton1957,15.915313132344936,10.868860184908401
71,72,CO2,water,0.00515,0.000103,16.212,0,VLE,323.15,Houghton1957,18.11627227615702,10.511391345465968
72,73,CO2,water,0.00575,0.000115,18.2385,0,VLE,323.15,Houghton1957,20.35042388294665,10.37778817332848
73,74,CO2,water,0.00634,0.0001268,20.265,0,VLE,323.15,Houghton1957,22.581856198510955,10.259812914155958
74,75,CO2,water,0.00691,0.0001382,22.2915,0,VLE,323.15,Houghton1957,24.772348958309163,10.014589098855057
75,76,CO2,water,0.000248,4.96e-06,1.01325,0,VLE,348.15,Houghton1957,1.576542656852629,35.729617235804625
76,77,CO2,water,0.000495,9.9e-06,2.0265,0,VLE,348.15,Houghton1957,2.7737937576537672,26.94121563983441
77,78,CO2,water,0.000984,1.968e-05,4.053,0,VLE,348.15,Houghton1957,5.164606480524188,21.523546560925276
78,79,CO2,water,0.001465,2.93e-05,6.0795,0,VLE,348.15,Houghton1957,7.544017784669922,19.412968347528885
79,80,CO2,water,0.001941,3.882e-05,8.106,0,VLE,348.15,Houghton1957,9.927079366680063,18.34456338480037
80,81,CO2,water,0.00241,4.82e-05,10.1325,0,VLE,348.15,Houghton1957,12.304079973333986,17.649267381554264
81,82,CO2,water,0.00287,5.74e-05,12.159,0,VLE,348.15,Houghton1957,14.66480938245177,17.087227778427692
82,83,CO2,water,0.00333,6.66e-05,14.1855,0,VLE,348.15,Houghton1957,17.056068111261464,16.83018672613144
83,84,CO2,water,0.00378,7.56e-05,16.212,0,VLE,348.15,Houghton1957,19.426395483798103,16.54653580217162
84,85,CO2,water,0.000187,3.74e-06,1.01325,0,VLE,373.15,Houghton1957,2.17829110406727,53.48417857888342
85,86,CO2,water,0.000373,7.46e-06,2.02,0,VLE,373.15,Houghton1957,3.3537629995146037,39.76914885481298
86,87,CO2,water,0.000743,1.486e-05,4.053,0,VLE,373.15,Houghton1957,5.709280322502678,29.010317044244253
87,88,CO2,water,0.001111,2.222e-05,6.0795,0,VLE,373.15,Houghton1957,8.07550038400171,24.71673938566043
88,89,CO2,water,0.001477,2.954e-05,8.106,0,VLE,373.15,Houghton1957,10.452923439482946,22.452316359824376
89,90,CO2,water,0.001841,3.682e-05,10.1325,0,VLE,373.15,Houghton1957,12.842071724748566,21.099179188719383
90,91,CO2,water,0.0022,4.4e-05,12.159,0,VLE,373.15,Houghton1957,15.223482812211182,20.129971899420244
91,92,CO2,water,0.000500381,1.00076e-05,1.54,0,VLE,323.15,Zawisza1981,1.792265073928044,14.075210056688961
92,93,CO2,water,0.001602981,3.20596e-05,4.88,0,VLE,323.15,Zawisza1981,5.524872555498805,11.672170697529948
93,94,CO2,water,0.0025069,5.0138e-05,7.62,0,VLE,323.15,Zawisza1981,8.64382537191983,11.844586486508737
94,95,CO2,water,0.0030098,6.0196e-05,8.92,0,VLE,323.15,Zawisza1981,10.403862815684233,14.262614203709525
95,96,CO2,water,0.00462247,9.24494e-05,14.41,0,VLE,323.15,Zawisza1981,16.179458605394604,10.936451265462157
96,97,CO2,water,0.0076601,0.000153202,25.05,0,VLE,323.15,Zawisza1981,27.710913874482735,9.60240389954445
97,98,CO2,water,0.00050038,1.00076e-05,2.37,0,VLE,348.15,Zawisza1981,2.79994784741718,15.355566276485701
98,99,CO2,water,0.00462247,9.24494e-05,21.0,0,VLE,348.15,Zawisza1981,23.952226001881,12.32547656175739
99,100,CO2,water,0.007660193,0.000153204,35.91,0,VLE,348.15,Zawisza1981,41.41449444578079,13.291226947095037
100,101,CO2,water,0.00050038,1.00076e-05,3.56,0,VLE,373.15,Zawisza1981,4.162084859328793,14.46594386415008
101,102,CO2,water,0.00462247,9.24494e-05,27.01,0,VLE,373.15,Zawisza1981,32.02497608433417,15.659577921706463
102,103,CO2,water,0.00472124,9.44248e-05,2.33,0,VLE,353.65,Nighswander1989,26.311202805250645,91.14445653721683
103,104,CO2,water,0.01133458,0.000226692,6.11,0,VLE,353.65,Nighswander1989,71.18120856870236,91.41627386938397
104,105,CO2,water,0.01389342,0.000277868,7.76,0,VLE,353.65,Nighswander1989,94.13033545693727,91.75611139349435
105,106,CO2,water,0.01400154,0.000280031,7.84,0,VLE,353.65,Nighswander1989,95.22399079328947,91.76678068763266
106,107,CO2,water,0.00857752,0.00017155,4.31,0,VLE,353.35,Nighswander1989,50.50865296445312,91.46680866141236
107,108,CO2,water,0.0084694,0.000169388,4.34,0,VLE,353.75,Nighswander1989,50.02672077981944,91.3246362496925
108,109,CO2,water,0.0166685,0.00033337,10.16,0,VLE,353.45,Nighswander1989,127.15106057682313,92.00950432193883
109,110,CO2,water,0.01688474,0.000337695,10.18,0,VLE,352.85,Nighswander1989,129.24607296997283,92.1235517907263
110,111,CO2,water,0.0012028,2.4056e-05,0.914347,0,VLE,273.15,Morgan1931,1.2441701016934799,26.509486222546823
111,112,CO2,water,0.00151,3.02e-05,1.14326,0,VLE,273.15,Morgan1931,1.561370705427493,26.778439224848725
112,113,CO2,water,9.829e-05,1.9658e-06,0.12103,0,VLE,283.15,Morgan1931,0.14781408206323282,18.120115275468113
113,114,CO2,water,0.00025032,5.0064e-06,0.286891,0,VLE,283.15,Morgan1931,0.35728432438827273,19.702326573884044
114,115,CO2,water,0.00053175,1.0635e-05,0.57753,0,VLE,283.15,Morgan1931,0.7455945331609022,22.541009313520973
115,116,CO2,water,0.000810269,1.62054e-05,0.871776,0,VLE,283.15,Morgan1931,1.1306007514151333,22.892674632594346
116,117,CO2,water,0.0010159,2.0318e-05,1.12616,0,VLE,283.15,Morgan1931,1.4153129921985173,20.430321334742576
117,118,CO2,water,8.846e-05,1.7692e-06,0.143432,0,VLE,291.15,Morgan1931,0.17126191425712498,16.249914277696547
118,119,CO2,water,0.00023762,4.7524e-06,0.32675,0,VLE,291.15,Morgan1931,0.4251395541295634,23.142884065682274
119,120,CO2,water,0.0004673,9.346e-06,0.67552,0,VLE,291.15,Morgan1931,0.8167041002015115,17.287056617773327
120,121,CO2,water,0.000713689,1.42738e-05,1.01296,0,VLE,291.15,Morgan1931,1.2376260418791376,18.15298274897464
121,122,CO2,water,8.19e-05,1.638e-06,0.163145,0,VLE,298.15,Morgan1931,0.196760806679355,17.08460503220843
122,123,CO2,water,0.00020564,4.1128e-06,0.368862,0,VLE,298.15,Morgan1931,0.44620342405762337,17.333220654002726
123,124,CO2,water,0.00042011,8.4022e-06,0.75123,0,VLE,298.15,Morgan1931,0.8793147036115231,14.566423498373608
124,125,CO2,water,0.0006393,1.2786e-05,1.112747,0,VLE,298.15,Morgan1931,1.3229793122746154,15.890823864294623
125,126,CO2,water,0.0013334,2.6668e-05,1.0,0,VLE,274.19,Murray1971,1.424457137283653,29.797817440338363
126,127,CO2,water,0.00114905,2.2981e-05,1.0,0,VLE,278.15,Murray1971,1.3847887808986197,27.786821081040376
127,128,CO2,water,0.000965001,1.93e-05,1.0,0,VLE,283.15,Murray1971,1.3448025179268512,25.639639525541575
128,129,CO2,water,0.00081745,1.6349e-05,1.0,0,VLE,288.15,Murray1971,1.3080323366274733,23.549290640755828
129,130,CO2,water,0.00070066,1.40132e-05,1.0,0,VLE,293.15,Murray1971,1.2792395661338603,21.828559210201952
130,131,CO2,water,0.00060943,1.21886e-05,1.0,0,VLE,298.15,Murray1971,1.2624578144574239,20.789432442954332
131,132,CO2,water,0.000514386,1.02877e-05,1.0,0,VLE,305.15,Murray1971,1.2612851562714669,20.715787779811972
132,133,CO2,water,0.0004798,9.596e-06,1.0,0,VLE,308.15,Murray1971,1.2617234841257836,20.743331436612294
